URL da vaga,Nome vaga,Nome da empresa,URL da empresa,Tipo de contrataÃ§Ã£o,Nivel de experiencia,Numero de candidaturas,Data da postagem,Horario do scrape,Numero de funcionarios,Numero de seguidores,local empresa,URL da candidatura,urn
https://br.linkedin.com/jobs/view/aprendiz-at-geradores-campinas-3545215959?refId=%2BrxGXPBDedXDPhlk1VxZEw%3D%3D&trackingId=z68JQ1qUwTRZNdozPQp6gg%3D%3D&trk=public_jobs_topcard-title,Aprendiz,Geradores Campinas,https://br.linkedin.com/company/geradorescampinas,Tempo integral,Estágio,25,Há 1 dia,2023-03-29 11:12:00,19,293,"Campinas, SP",['https://br.linkedin.com/jobs/view/externalApply/3545215959?url=https%3A%2F%2Fvagas%2Eempregos%2Ecom%2Ebr%2Fvaga%2F8431489%2Faprendiz-em-campinas-sp%3F198431489&urlHash=wAs1&refId=%2BrxGXPBDedXDPhlk1VxZEw%3D%3D&trackingId=z68JQ1qUwTRZNdozPQp6gg%3D%3D'],urn:li:jobPosting:3545215959
https://br.linkedin.com/jobs/view/aprendiz-de-servi%C3%A7os-administrativos-at-grupo-jorlan-3545214809?refId=%2BrxGXPBDedXDPhlk1VxZEw%3D%3D&trackingId=Z%2F80RPWpuYDOiPU661UR6Q%3D%3D&trk=public_jobs_topcard-title,Aprendiz de serviços administrativos,Grupo Jorlan,https://br.linkedin.com/company/grupo-jorlan,Tempo integral,Estágio,25,Há 1 dia,2023-03-29 11:12:24,557,12.815,"Brasília, DF",['https://br.linkedin.com/jobs/view/externalApply/3545214809?url=https%3A%2F%2Fvagas%2Eempregos%2Ecom%2Ebr%2Fvaga%2F8396715%2Faprendiz-de-servicos-administrativos-em-brasilia-df%3F198396715&urlHash=9YxH&refId=%2BrxGXPBDedXDPhlk1VxZEw%3D%3D&trackingId=Z%2F80RPWpuYDOiPU661UR6Q%3D%3D'],urn:li:jobPosting:3545214809
https://br.linkedin.com/jobs/view/cagc-jovem-aprendiz-programa-primeiros-passos-at-drogasil-3534122448?refId=MXy9DtCCMkHvU1rDDqMfqQ%3D%3D&trackingId=LNC1EEOEEp70QEkWEmxzSw%3D%3D&trk=public_jobs_topcard-title,CAGC - Jovem Aprendiz - Programa Primeiros Passos,Drogasil,https://www.linkedin.com/company/drogasil,Tempo integral,Estágio,180,Há 1 semana,2023-03-29 11:12:37,22.833,,"Salvador, BA",['https://br.linkedin.com/jobs/view/externalApply/3534122448?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F22303750&urlHash=Yw3O&refId=MXy9DtCCMkHvU1rDDqMfqQ%3D%3D&trackingId=LNC1EEOEEp70QEkWEmxzSw%3D%3D'],urn:li:jobPosting:3534122448
https://br.linkedin.com/jobs/view/cagc-jovem-aprendiz-programa-primeiros-passos-at-drogasil-3534122448?refId=MXy9DtCCMkHvU1rDDqMfqQ%3D%3D&trackingId=LNC1EEOEEp70QEkWEmxzSw%3D%3D&trk=public_jobs_topcard-title,Estágio em Pedagogia,EVOESTÁGIOS,https://www.linkedin.com/company/drogasil,Tempo integral,Estágio,,Há 1 mês,2023-03-29 11:12:48,22.833,,,['https://br.linkedin.com/jobs/view/externalApply/3534122448?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F22303750&urlHash=Yw3O&refId=MXy9DtCCMkHvU1rDDqMfqQ%3D%3D&trackingId=LNC1EEOEEp70QEkWEmxzSw%3D%3D'],urn:li:jobPosting:3481392875
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-em-recursos-humanos-at-id-do-brasil-logistica-3528085049?refId=MXy9DtCCMkHvU1rDDqMfqQ%3D%3D&trackingId=izN6nRmGjmVm5vLOVh0n1w%3D%3D&trk=public_jobs_topcard-title,Estagiário em Recursos Humanos,Id Do Brasil Logistica,https://www.linkedin.com/company/id-do-brasil-logistica,Tempo integral,Estágio,25,Há 2 semanas,2023-03-29 11:13:02,223,399,"Barueri, SP",['https://br.linkedin.com/jobs/view/externalApply/3528085049?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F22226979&urlHash=hCP2&refId=MXy9DtCCMkHvU1rDDqMfqQ%3D%3D&trackingId=izN6nRmGjmVm5vLOVh0n1w%3D%3D'],urn:li:jobPosting:3528085049
https://br.linkedin.com/jobs/view/estagiario-at-sete-lagos-transportes-3537578083?refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=tSfjzcF%2FzX0Bx1bt3N8kdg%3D%3D&trk=public_jobs_topcard-title,Estagiario,Sete Lagos Transportes,https://br.linkedin.com/company/setelagos,Tempo integral,Estágio,25,Há 1 semana,2023-03-29 11:13:14,137,1.868,"Contagem, MG",['https://br.linkedin.com/jobs/view/externalApply/3537578083?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F22334310&urlHash=moi7&refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=tSfjzcF%2FzX0Bx1bt3N8kdg%3D%3D'],urn:li:jobPosting:3537578083
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-a-de-ti-at-selpe-vagas-3528054284?refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=Stbkvkh%2BKYHY1KPwb7WbtQ%3D%3D&trk=public_jobs_topcard-title,ESTAGIÁRIO(A) DE TI,Selpe Vagas,https://br.linkedin.com/company/selpevagas,Tempo integral,Estágio,174,Há 1 mês,2023-03-29 11:13:27,4,79.928,"Belo Horizonte, MG",['https://br.linkedin.com/jobs/view/externalApply/3528054284?url=https%3A%2F%2Fvagas%2Erecrutamentointeligente%2Enet%2Fgruposelpe%2Fdetalhe%2Festagiarioa-de-ti%2FR26966%3Fsource%3DLinkedin&urlHash=3Mkf&refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=Stbkvkh%2BKYHY1KPwb7WbtQ%3D%3D'],urn:li:jobPosting:3528054284
https://br.linkedin.com/jobs/view/espro-023027-jovem-aprendiz-onco-vida-brasilia-df-at-espro-3513104843?refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=W3k%2By6%2FjOqLhgvI3qH%2FeDg%3D%3D&trk=public_jobs_topcard-title,ESPRO 023027-JOVEM APRENDIZ-ONCO VIDA- BRASILIA-DF,Espro,https://br.linkedin.com/company/esprooficial,Tempo integral,Estágio,25,Há 1 mês,2023-03-29 11:13:39,1.506,136.302,"Brasília, DF",['https://br.linkedin.com/jobs/view/externalApply/3513104843?url=https%3A%2F%2Fvagas%2Etaqe%2Ecom%2Ebr%2Fespro%2F023027-jovem-aprendiz-onco-vida-brasilia-df&urlHash=87qN&refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=W3k%2By6%2FjOqLhgvI3qH%2FeDg%3D%3D'],urn:li:jobPosting:3513104843
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-psicologia-at-umana-brasil-3545228430?refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=DfadO6q%2FAK%2BhTa8QUi%2BNQg%3D%3D&trk=public_jobs_topcard-title,Estágio em psicologia,UMANA BRASIL,https://br.linkedin.com/company/umana-brasil,Tempo integral,Estágio,36,Há 1 dia,2023-03-29 11:13:52,762,29.519,"Salvador, BA",['https://br.linkedin.com/jobs/view/externalApply/3545228430?url=https%3A%2F%2Fvagas%2Eempregos%2Ecom%2Ebr%2Fvaga%2F8459467%2Festagio-em-psicologia-em-salvador-ba%3F198459467&urlHash=-z2k&refId=5r29umoojbw9axDY5wsyew%3D%3D&trackingId=DfadO6q%2FAK%2BhTa8QUi%2BNQg%3D%3D'],urn:li:jobPosting:3545228430
https://br.linkedin.com/jobs/view/espro-025483-jovem-aprendiz-credihome-s-a-sao-paulo-sp-at-espro-3542752405?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=YOybY%2Bpa4DPlq0C7ux5%2Blw%3D%3D&trk=public_jobs_topcard-title,ESPRO 025483-JOVEM APRENDIZ- CREDIHOME S.A. -SAO PAULO-SP,Espro,https://br.linkedin.com/company/esprooficial,Tempo integral,Estágio,25,Há 23 horas,2023-03-29 11:14:04,1.506,136.302,"São Paulo, SP",['https://br.linkedin.com/jobs/view/externalApply/3542752405?url=https%3A%2F%2Fvagas%2Etaqe%2Ecom%2Ebr%2Fespro%2F025483-jovem-aprendiz-credihome-s-a-sao-paulo-sp&urlHash=0fYN&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=YOybY%2Bpa4DPlq0C7ux5%2Blw%3D%3D'],urn:li:jobPosting:3542752405
